Nome,Temperatura,Pressione,Livello Co2 
28208,21,981.06,450
92751,20,980.11,460
40601,21,980.90,454
09009,17,981.68,458
72046,16,980.80,440
87398,16,981.42,460
58371,17,981.36,458
67662,14,980.41,442
42514,12,980.95,458
45630,11,981.81,447
04401,28,1006.62,457
47597,23,1007.09,440
61528,22,1008.07,447
65988,18,1007.62,460
07081,18,1006.83,446
33846,18,1006.79,440
13072,16,1006.58,449
90405,15,1006.53,440
71145,17,1007.50,448
83103,11,1008.08,453
ii,1,2.0,3
50139,28,1004.98,449
32209,26,1005.50,442
72065,25,1005.48,441
82972,24,1006.02,455
59792,23,1006.87,442
93474,22,1007.34,453
31141,17,1007.21,442
26736,19,1006.54,440
50063,14,1007.22,457
18016,13,1007.43,451
oi,1,2.0,3
24016,20,981.77,449
05545,22,981.62,442
23302,23,982.09,442
41354,18,981.90,440
30677,18,982.18,442
01624,15,982.08,455
96016,14,981.90,445
99623,14,982.87,442
71623,12,982.31,448
82557,14,981.45,448
r,1,2.0,3
82429,29,987.88,441
76746,19,988.29,444
13299,21,987.79,445
35847,19,986.83,460
63308,20,987.61,441
07594,17,987.92,440
53872,19,988.65,440
71872,13,989.44,441
67702,13,989.82,445
33484,14,990.16,446
12416,20,1003.04,457
28095,19,1002.59,451
38543,18,1002.05,449
56731,18,1002.49,452
51620,19,1002.38,455
63721,20,1002.70,449
21832,18,1002.80,458
61509,20,1002.21,447
11560,19,1002.45,446
75747,11,1002.44,441
29635,24,1024.96,460
70352,20,1024.58,453
47738,20,1024.82,454
62888,19,1024.29,458
08180,19,1023.70,458
94187,20,1024.47,448
36368,20,1024.69,454
11213,19,1025.39,441
22415,21,1025.22,458
58737,21,1025.47,447
59705,29,1017.38,453
88577,31,1016.76,448
43027,31,1017.16,445
27758,19,1017.46,445
80698,18,1017.95,456
41256,15,1018.51,456
96733,14,1018.08,445
34011,15,1018.47,448
15483,13,1019.39,459
21621,14,1018.51,454
67066,29,991.37,451
17770,21,991.26,458
66399,19,991.13,445
14815,19,991.05,446
39723,16,990.63,455
27854,16,989.87,449
40197,18,990.62,447
38476,18,989.66,459
34997,15,989.20,448
36126,16,989.55,447
08935,22,981.81,451
63031,22,982.57,446
21444,22,983.10,443
62758,20,983.71,443
34380,21,982.82,458
62536,21,982.24,455
92788,15,982.14,450
25905,14,983.14,449
09767,12,983.48,445
37914,12,983.13,457
58642,28,981.16,453
65676,26,980.54,459
40278,24,980.22,448
06112,25,980.53,457
77718,16,980.95,444
26951,17,981.85,451
37612,19,981.62,448
36549,19,981.42,459
22312,18,980.44,460
62263,18,980.03,444
91088,29,1003.73,441
50498,22,1004.05,460
66308,23,1004.43,442
71506,17,1004.64,446
18565,19,1005.28,456
53180,18,1004.70,450
68957,15,1003.99,457
04145,16,1004.86,441
52847,12,1005.74,451
57846,13,1006.47,459
43942,27,1014.32,451
89868,26,1014.42,460
55983,18,1013.45,452
41829,19,1013.81,453
34013,16,1014.25,456
46210,15,1013.81,456
20540,14,1013.83,450
73144,16,1013.80,460
68361,18,1014.06,443
81768,17,1015.03,460
21542,27,985.25,450
06063,29,985.33,455
18336,23,985.82,459
97518,22,986.05,454
11045,18,985.71,440
88646,16,986.26,455
19076,16,985.35,455
90334,13,985.14,452
45363,13,984.32,447
43334,13,984.06,453
87459,20,1035.29,446
64116,19,1036.05,458
30726,20,1036.97,440
21928,19,1036.02,444
06048,16,1035.15,453
28276,16,1036.00,440
23694,16,1035.56,451
74233,13,1035.60,442
34265,12,1036.43,443
08748,14,1036.99,450
87590,26,1023.57,460
25925,28,1023.49,455
55133,19,1023.88,445
04468,20,1024.62,445
36404,19,1023.74,455
07126,17,1024.07,446
80911,17,1023.38,450
81224,19,1023.86,444
23964,14,1023.29,440
56162,14,1023.81,455
77935,29,1010.62,440
91791,21,1010.25,442
91281,18,1009.59,455
56674,20,1009.21,448
76563,20,1009.59,442
45815,22,1008.94,456
42495,22,1008.64,460
74374,22,1007.98,446
20469,16,1008.17,450
97590,11,1008.35,460
53408,26,980.93,455
90182,22,981.40,447
21968,23,980.70,447
37648,18,980.84,443
45815,19,980.30,452
13398,16,980.45,443
83539,14,980.74,440
16608,15,980.52,460
45945,16,979.88,446
73363,14,978.94,448
13985,24,1035.66,441
06257,25,1035.65,451
13693,27,1035.36,451
62695,18,1034.50,452
67644,19,1034.82,452
05640,19,1035.65,451
42981,14,1036.61,444
02742,13,1036.74,457
57797,13,1036.85,450
07800,12,1036.56,455
20410,22,1026.16,450
65835,19,1025.84,457
96747,19,1025.38,453
87038,18,1025.59,453
92309,16,1025.08,441
00254,15,1024.62,442
87375,15,1025.44,445
10820,17,1024.78,447
76690,16,1024.78,443
85504,17,1024.00,452
